"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107307073",641,444,298,352,406,487,658,601,548,258,727,486,435,408,490
"107307068",25.0406,15.2332,5,9,7.00678,5,18,14.0856,10,7,18.0316,4,9.94452,9.06451,9.01236
"107307061",62,38,37,34,38,46,65,42,44,31,44,34,51,65,84
"107307071",50,35,47,54,46,49,61,71,58,24,83,42,76,85,69
"107307060",2404,1624,1496,1986,1710,1024,2702,3543,2615,1462,2583,1334,2087,2930,1452
"107307063",193,135,64,62,116,100,183,72,135,55,122,107,122,134,154
"107307062",376,333,341,301,433,445,516,421,491,255,482,386,502,526,568
"107315299",8.66666666666667,7.33333333333333,4.66666883666667,10.6666666666667,4.33333333333333,15.666673,11.6666666666667,11.3333333333333,12,14.6666666666667,9.33334666666667,3.66666666666667,10.6666727066667,8.33333333333333,10.3333333333333
"107315708",717.49815,455.00000001115,844.0005,1178.498,515.50074735,1520.5005,1980.999,478.500001185,416.5000000062,300.50005,1112.5005,532.50025,488.00013185,2380.5,850.5015
"107325616",135.5,88.5001,97.0002,119.0001,118.99985,119.00015,170.99995,117.00005,131.49985,80.9998,166.0001,101.0001,141.5002,169.99995,119.99985
"107325311",14944,10496,11218,11764,11687,11113,20948,14479,13957,9627,14732,12806,18623,23543,18534
"107325306",1360,935,795,1078,1392,987,1765,1044,1225,771,1059,912,1208,1640,1294
"107325297",165.8445,116.5335,85.966,129.2025,219.32355,133.801,159.7701,131.88445,168.7995,81.25305,125.605,104.1368,134.9338,158.42285,140.66265
"107325305",1358.65565,955.968,1042.035,946.79975,933.1753380235,1167.1972,1483.730441167,1093.61805,1180.2,636.7451238045,1367.39315,850.365,1249.0674,1419.575,1267.8379475
"107325309",97,67,71,65,86,82,101,80,68,57,162,65,86,116,95
"107325322",408.749875,310.74985,200.5001,250.5000234485,364.74965,338.9994546255,377.25025,353.25035,317.00015,150.999875,410.99925,442.499775,271.500025,366.25092514175,650.75
"107308174",194.50005,123,112.49995,117.99985,114.50005,149.5,181.999935,158.5002,163.50005,74.99985,224.000125,149.0001,200.5002,200.5,239.5
"107308161",237.999866666667,148.333366751667,113.3332,171.333233333333,191.333200556667,226.3333,251.666600443333,203.333333361467,215.6667,107.333266666667,227.333400186333,248.333166777,157.000066666667,185.333196666667,295.666505
"107308125",493,310,283,409,411,334,517,443,474,273,506,402,418,525,514
